,name
154,stornoway
425,mabaruma
194,zabol
175,koboko
2,saqqez
373,sa kaeo
53,todos santos
145,kaitangata
574,saurimo
181,longyearbyen
581,waingapu
252,maimon
68,touros
52,yatou
463,alta floresta
395,dandong
378,khasan
320,ongandjera
482,pundaguitan
184,balkanabat
255,manoharpur
531,verkh-usugli
458,yaan
559,gonbad-e qabus
371,pangnirtung
513,guilin
483,lazaro cardenas
168,saint george
440,tuni
438,zhuhai
413,olafsvik
505,bubaque
105,maceio
384,sneek
431,shanghai
478,siparia
333,inverness
247,corsicana
318,dargaville
512,gambela
310,poum
134,cananeia
97,kon tum
149,palana
297,samarai
517,ust-nera
35,hithadhoo
381,savonlinna
110,batagay-alyta
535,chicama
286,yar-sale
424,ambatofinandrahana
257,vitim
11,hambantota
313,nizhneyansk
331,shakawe
43,blagoyevo
480,acarau
504,waitati
71,puerto ayora
536,skalistyy
433,casa nova
85,port elizabeth
101,saldanha
486,amapa
231,mount gambier
139,tilichiki
151,isangel
16,voka
457,mehamn
575,garmsar
289,belaya gora
315,zhanatas
164,fevik
423,bathsheba
298,tocopilla
306,surt
197,tiarei
124,bambous virieux
9,saint-pierre
367,suntar
488,jinchang
470,ketchikan
108,upernavik
282,vestmannaeyjar
396,tezu
416,urdzhar
253,umzimvubu
387,semirom
295,hwange
548,liverpool
8,rikitea
155,yellowknife
281,korla
227,buala
390,beringovskiy
270,mrirt
54,belushya guba
348,palaikastron
316,tateyama
566,lensk
355,khandbari
561,asyut
129,morros
474,comodoro rivadavia
147,tuktoyaktuk
89,clonakilty
487,ukiah
568,concarneau
229,surgut
537,otradnoye
444,port macquarie
527,sola
56,carupano
67,maposeni
83,la libertad
360,rancho palos verdes
279,bavaniste
544,ringebu
288,severo-kurilsk
233,barbacoas
380,sentyabrskiy
469,mokshan
534,inongo
25,semey
130,katherine
304,evensk
336,louisbourg
428,terrace bay
342,virginia beach
276,meadow lake
51,barentsburg
337,rongcheng
324,rantepao
314,lata
577,saquarema
426,masuguru
148,zarubino
185,torrington
26,olinda
238,la ronge
571,armstrong
176,tsihombe
188,lebu
123,lompoc
460,alofi
19,mackenzie
6,nanortalik
10,hobart
515,atambua
459,nishihara
541,palasa
377,victor harbor
551,muros
409,coahuayana
410,aklavik
399,chokurdakh
210,vaitupu
88,victoria
225,mar del plata
361,tigil
430,westport
143,ribeira grande
20,yerbogachen
454,aasiaat
532,opuwo
79,pacific grove
213,fortuna
507,broome
69,chuy
117,llangefni
138,antsohihy
495,jacareacanga
120,fairbanks
327,warwick
494,kegayli
45,deputatskiy
570,hokitika
389,banda aceh
273,padang
